Brand,Model,Range,Efficiency,FastCharge,BodyStyle,PriceEuro
Byton ,M-Byte 95 kWh 4WD,390 km,244 Wh/km,460 km/h,SUV,64000
Nissan ,Ariya e-4ORCE 87kWh Performance,375 km,232 Wh/km,450 km/h,Hatchback,65000
BMW ,i4 ,450 km,178 Wh/km,650 km/h,Sedan,65000
Tesla ,Model Y Long Range Performance,410 km,177 Wh/km,900 km/h,SUV,65620
Audi ,e-tron 50 quattro,280 km,231 Wh/km,450 km/h,SUV,67358
BMW ,iX3 ,360 km,206 Wh/km,560 km/h,SUV,68040
Mercedes ,EQC 400 4MATIC,370 km,216 Wh/km,440 km/h,SUV,69484
Audi ,e-tron Sportback 50 quattro,295 km,219 Wh/km,470 km/h,SUV,69551
Mercedes ,EQV 300 Long,330 km,273 Wh/km,290 km/h,SPV,70631
Tesla ,Cybertruck Tri Motor,750 km,267 Wh/km,710 km/h,Pickup,75000
Jaguar ,I-Pace ,365 km,232 Wh/km,340 km/h,SUV,75351
Audi ,e-tron 55 quattro,365 km,237 Wh/km,590 km/h,SUV,79445
Tesla ,Model S Long Range,515 km,184 Wh/km,560 km/h,Liftback,79990
Audi ,e-tron Sportback 55 quattro,380 km,228 Wh/km,610 km/h,SUV,81639
Tesla ,Model X Long Range,450 km,211 Wh/km,490 km/h,SUV,85990
Audi ,e-tron S 55 quattro,320 km,270 Wh/km,510 km/h,SUV,93800
Audi ,e-tron S Sportback 55 quattro,335 km,258 Wh/km,540 km/h,SUV,96050
Tesla ,Model S Performance,505 km,188 Wh/km,550 km/h,Liftback,96990
Porsche ,Taycan 4S,365 km,195 Wh/km,730 km/h,Sedan,102945
Tesla ,Model X Performance,440 km,216 Wh/km,480 km/h,SUV,102990
Lucid ,Air ,610 km,180 Wh/km,620 km/h,Sedan,105000
Porsche ,Taycan 4S Plus,425 km,197 Wh/km,890 km/h,Sedan,109302
Audi ,e-tron GT ,425 km,197 Wh/km,850 km/h,Sedan,125000
Porsche ,Taycan Turbo,390 km,215 Wh/km,810 km/h,Sedan,148301
Lightyear ,One ,575 km,104 Wh/km,540 km/h,Liftback,149000
Porsche ,Taycan Cross Turismo ,385 km,217 Wh/km,770 km/h,Station,150000
Porsche ,Taycan Turbo S,375 km,223 Wh/km,780 km/h,Sedan,180781
Tesla ,Roadster ,970 km,206 Wh/km,920 km/h,Cabrio,215000
